,diversity,wetc
0,0.77,0.6830165756950943
1,0.76,0.6826630581971964
2,0.69,0.6531722496560228
3,0.71,0.645010433145279
4,0.77,0.6223278251265597
5,0.75,0.6458752145336538
6,0.72,0.6482496331024244
7,0.73,0.6737298956304635
8,0.73,0.6868762224557659
9,0.74,0.6626361769208898
