,npmi,diversity,wetc
0,-0.022639259199910725,0.8125,0.6288569007478118
1,-0.029922613672774025,0.8375,0.6512076356466066
2,-0.05966007928771557,0.7454545454545455,0.6464520449683587
3,-0.08886392102756566,0.8,0.6575724974127107
4,-0.03587175450283105,0.825,0.6409038336560526
5,-0.05220737792531662,0.725,0.6352613816717274
6,-0.06359724934991302,0.725,0.6089375550705703
7,-0.0795309057964694,0.7857142857142857,0.6090503777312859
8,-0.03363361362338982,0.725,0.6760131208363559
9,-0.039798121127914796,0.8,0.6198001590912263
