,npmi,diversity,wetc
0,-0.08052047826242952,0.8285714285714286,0.6736773667039121
1,-0.07067693313449135,0.8142857142857143,0.6724354757456966
2,-0.06498868626794488,0.7857142857142857,0.6736012099962342
3,-0.08323707024805983,0.7857142857142857,0.679291345628268
4,-0.11363665466616651,0.8333333333333334,0.6669761243379705
5,-0.04104190140329369,0.84,0.6820328225665993
6,-0.03011997547502963,0.85,0.6603326236485153
7,-0.06735471980596845,0.8285714285714286,0.6745210333653945
8,-0.06783182776028665,0.8,0.7004709848889501
9,-0.09592464940571604,0.8166666666666667,0.6992987955891755
