,npmi,diversity,wetc
0,-0.04973163756206944,0.86,0.6806493551077442
1,0.03655699050371099,0.8285714285714286,0.7343037940607849
2,0.029364581517021253,0.85,0.6699206208413113
3,0.005893087000761268,0.8,0.6784649201645954
4,-0.010106416045345868,0.8555555555555555,0.7259807693876069
5,0.009172231422869275,0.8333333333333334,0.7355007153715118
6,0.030936393953292004,0.8571428571428571,0.7212644534070964
7,0.022587812489120937,0.8222222222222222,0.7470440953523069
8,0.007821013211770114,0.7818181818181819,0.6760443818549123
9,0.00638466355293341,0.875,0.7108730880956421
